Configuration,DetailedConfiguration,Run,TotalDeliveries,AvgDeliveryTime,DeliveryTimeSD,AvgEarnings,EarningsSD,AvgDeliveriesPerCourier,DeliveriesPerCourierSD,CourierUtilization,WaitingPercentage,SearchingPercentage,EarningsPerHour,OnTheFlyJobs,MemoryJobs,JobTypeRatio,AvgJobsPerCourier,JobsPerCourierSD
"autonomy-level=0_use-memory=true_memory-fade=5","autonomy-level=0_use-memory=true_memory-fade=5_couriers=6_neighbourhood=10_jobRate=3_fadeStrategy=Linear_coop=0_clusters=3_restsPerCluster=2_restsClusterSize=10",run_1,1729,"40.9826","33.1583","8603.6887","3823.5702","288.1667","156.9706","0.0306","79.7899","0","2150.9222",0,"1730","0","288.1667","156.9706"
"autonomy-level=0_use-memory=true_memory-fade=5","autonomy-level=0_use-memory=true_memory-fade=5_couriers=6_neighbourhood=10_jobRate=3_fadeStrategy=Linear_coop=0_clusters=3_restsPerCluster=2_restsClusterSize=10",run_2,2117,"51.4521","47.4531","11686.1195","3584.3511","352.8333","95.9238","0.2483","72.5966","0","2921.5299",0,"2119","0","352.8333","95.9238"
"autonomy-level=0_use-memory=true_memory-fade=5","autonomy-level=0_use-memory=true_memory-fade=5_couriers=6_neighbourhood=10_jobRate=3_fadeStrategy=Linear_coop=0_clusters=3_restsPerCluster=2_restsClusterSize=10",run_3,2187,"61.4243","55.0776","13361.2048","4935.3698","364.5","127.2741","0.2158","68.7091","0","3340.3012",0,"2190","0","364.5","127.2741"
"autonomy-level=0_use-memory=true_memory-fade=5","autonomy-level=0_use-memory=true_memory-fade=5_couriers=6_neighbourhood=10_jobRate=3_fadeStrategy=Linear_coop=0_clusters=3_restsPerCluster=2_restsClusterSize=10",run_4,2456,"63.7357","58.3391","15393.391","3074.8184","409.3333","14.4037","0.1548","63.9659","0","3848.3478",0,"2457","0","409.3333","14.4037"
"autonomy-level=0_use-memory=true_memory-fade=5","autonomy-level=0_use-memory=true_memory-fade=5_couriers=6_neighbourhood=10_jobRate=3_fadeStrategy=Linear_coop=0_clusters=3_restsPerCluster=2_restsClusterSize=10",run_5,2206,"57.4887","54.2991","13145.7695","4332.757","367.6667","108.6751","0.1689","69.2031","0","3286.4424",0,"2207","0","367.6667","108.6751"
"autonomy-level=0_use-memory=true_memory-fade=5","autonomy-level=0_use-memory=true_memory-fade=5_couriers=6_neighbourhood=10_jobRate=3_fadeStrategy=Linear_coop=0_clusters=3_restsPerCluster=2_restsClusterSize=10",run_6,2587,"60.3838","55.9482","15363.6648","1429.8959","431.1667","12.3194","0.0622","64.0328","0","3840.9162",0,"2588","0","431.1667","12.3194"
"autonomy-level=0_use-memory=true_memory-fade=5","autonomy-level=0_use-memory=true_memory-fade=5_couriers=6_neighbourhood=10_jobRate=3_fadeStrategy=Linear_coop=0_clusters=3_restsPerCluster=2_restsClusterSize=10",run_7,2653,"64.0057","62.4582","15776.1189","3214.8675","442.1667","19.7931","0.0442","63.0577","0","3944.0297",0,"2653","0","442.1667","19.7931"
"autonomy-level=0_use-memory=true_memory-fade=5","autonomy-level=0_use-memory=true_memory-fade=5_couriers=6_neighbourhood=10_jobRate=3_fadeStrategy=Linear_coop=0_clusters=3_restsPerCluster=2_restsClusterSize=10",run_8,2180,"56.1472","56.8032","12466.1767","4165.5995","363.3333","106.8582","0.0852","70.7894","0","3116.5442",0,"2180","0","363.3333","106.8582"
"autonomy-level=0_use-memory=true_memory-fade=5","autonomy-level=0_use-memory=true_memory-fade=5_couriers=6_neighbourhood=10_jobRate=3_fadeStrategy=Linear_coop=0_clusters=3_restsPerCluster=2_restsClusterSize=10",run_9,2163,"50.9307","43.473","12221.4351","4144.4655","360.5","107.7956","0.1651","71.3397","0","3055.3588",0,"2164","0","360.5","107.7956"
"autonomy-level=0_use-memory=true_memory-fade=5","autonomy-level=0_use-memory=true_memory-fade=5_couriers=6_neighbourhood=10_jobRate=3_fadeStrategy=Linear_coop=0_clusters=3_restsPerCluster=2_restsClusterSize=10",run_10,1298,"37.5169","18.8254","7598.4887","1299.0521","216.3333","20.6849","0.1144","82.2033","0","1899.6222",0,"1298","0","216.3333","20.6849"

