Configuration,DetailedConfiguration,Run,TotalDeliveries,AvgDeliveryTime,DeliveryTimeSD,AvgEarnings,EarningsSD,AvgDeliveriesPerCourier,DeliveriesPerCourierSD,CourierUtilization,WaitingPercentage,SearchingPercentage,EarningsPerHour,OnTheFlyJobs,MemoryJobs,JobTypeRatio,AvgJobsPerCourier,JobsPerCourierSD,AvgOpenOrders,MaxOpenOrders,CreatedWindow1,CreatedWindow2,CreatedWindow3,CreatedWindow4,CompletedWindow1,CompletedWindow2,CompletedWindow3,CompletedWindow4
"autonomy-level=0_cooperativeness-level=0_use-memory=true_memory-fade=5","autonomy-level=0_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10",run_1,7127,"102.7953","237.4735","7178.5152","3729.098","237.5667","122.7492","0.0839","83.1602","0","8973.144",0,"7130","0","237.5667","122.7492","8.5052","79","405","2930","2396","1399","405","2929","2319","1474"
"autonomy-level=1_cooperativeness-level=0_use-memory=true_memory-fade=5","autonomy-level=1_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10",run_1,7147,"38.7528","17.4008","7263.1205","646.8523","238.2333","12.0163","0.0802","81.4506","0","9078.9007",0,"7151","0","238.2333","12.0163","3.2056","18","389","2918","2407","1437","389","2911","2402","1445"
"autonomy-level=2_cooperativeness-level=0_use-memory=true_memory-fade=5","autonomy-level=2_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10",run_1,7180,"43.4738","19.0313","7198.1495","320.2594","239.3333","11.9173","0.0742","2.7559","78.2225","8997.6868",6431,"753","8.5405","239.3333","11.9173","3.6132","21","431","2867","2402","1484","431","2862","2392","1495"
"autonomy-level=3_cooperativeness-level=0_use-memory=true_memory-fade=5","autonomy-level=3_cooperativeness-level=0_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10",run_1,7084,"41.6381","16.6928","7072.8254","604.6367","236.1333","17.7506","0.0654","2.162","80.0134","8841.0317",4785,"116","41.25","236.1333","17.7506","3.4843","22","419","2905","2328","1437","419","2900","2324","1441"
"autonomy-level=1_cooperativeness-level=1_use-memory=true_memory-fade=5","autonomy-level=1_cooperativeness-level=1_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10",run_1,7115,"37.5809","16.2316","7109.0929","357.4076","237.1667","5.3761","0.1025","81.8117","0","8886.3661",0,"7119","0","237.1667","5.3761","3.0453","16","417","2926","2350","1427","416","2923","2346","1430"
"autonomy-level=2_cooperativeness-level=1_use-memory=true_memory-fade=5","autonomy-level=2_cooperativeness-level=1_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10",run_1,7174,"42.2968","17.0946","7229.1124","278.5721","239.1333","1.432","0.0875","2.9182","77.9992","9036.3905",0,"689","0","239.1333","1.432","3.5645","19","404","2970","2335","1468","403","2965","2338","1468"
"autonomy-level=2_cooperativeness-level=2_use-memory=true_memory-fade=5","autonomy-level=2_cooperativeness-level=2_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10",run_1,7391,"58.1762","151.2883","7395.7129","347.7515","246.3667","7.6766","0.1145","79.2565","0","9244.6411",0,"7396","0","246.3667","7.6766","5.0697","18","453","3053","2438","1452","453","3049","2430","1459"
"autonomy-level=3_cooperativeness-level=1_use-memory=true_memory-fade=5","autonomy-level=3_cooperativeness-level=1_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10",run_1,7261,"41.6064","16.4847","7350.7065","256.743","242.0333","1.5421","0.0829","1.7272","79.7776","9188.3831",0,"180","0","242.0333","1.5421","3.547","20","449","2897","2379","1541","449","2896","2375","1541"
"autonomy-level=3_cooperativeness-level=2_use-memory=true_memory-fade=5","autonomy-level=3_cooperativeness-level=2_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10",run_1,7233,"40.8828","15.6916","7227.4771","224.2727","241.1","2.5778","0.0743","2.3141","79.4478","9034.3464",0,"154","0","241.1","2.5778","3.4146","16","413","3001","2306","1517","413","3001","2298","1521"
"autonomy-level=3_cooperativeness-level=3_use-memory=true_memory-fade=5","autonomy-level=3_cooperativeness-level=3_use-memory=true_memory-fade=5_couriers=30_neighbourhood=10_jobRate=10_fadeStrategy=Linear_learningModel=Demand Prediction_predWeight=0.5_clusters=3_restsPerCluster=10_restsClusterSize=10_oppSwitch=false_switchThresh=10",run_1,7274,"41.0843","15.6231","7318.5836","220.9937","242.4667","2.556","0.1165","1.9008","79.6159","9148.2295",0,"153","0","242.4667","2.556","3.5122","20","423","2951","2403","1502","423","2945","2393","1513"

